	TCGA-H6-A45N-11A-12R-A26U-07	TCGA-H6-8124-11A-01R-2404-07	TCGA-YB-A89D-11A-11R-A36G-07	TCGA-HV-A5A3-11A-11R-A26U-07
NGEF	0.4803	4.3762	7.2802	7.3612
ZNF277	15.5019	19.1889	12.7879	17.4179
PIBF1	13.2623	16.4653	10.821	11.89
SS18L2	22.6664	13.6745	14.9163	15.5089
SDS	0.9593	38.7978	43.2505	21.9639
SMARCB1	20.8705	17.567	15.2776	21.2533
POLD3	13.8786	14.2728	9.6748	12.2705
VPS13C	45.2664	23.6602	11.2795	15.6466
C18orf21	23.1328	19.5558	15.439	19.1595
CAPRIN2	18.6826	10.0925	10.4378	10.2649
MRAS	13.7155	23.0799	33.7362	21.5191
CCDC86	9.6275	10.355	14.4643	10.0614
ZNF609	19.6087	25.2903	12.4713	17.2824
RBM23	21.3413	16.724	11.3044	15.1716
TRAF3	43.1082	22.7541	16.5118	20.3809
BICDL1	22.1288	8.3648	7.4177	10.6997
PRTFDC1	5.882	14.0705	9.5103	10.6008
MLKL	35.3212	10.5763	17.4496	13.4818
NAA10	19.7829	8.7862	16.1269	13.5952
EPHA3	0.9332	30.938	7.391	10.8957
UQCC1	23.6243	13.3957	10.8017	14.2959
CINP	10.2145	13.9353	14.2217	14.7335
CASP8	45.4623	14.1104	9.1545	12.6632
JADE1	21.0187	19.7664	9.6244	21.065
CCNT2	34.6018	18.399	11.6243	17.0108
ZNF76	40.6959	17.7018	10.5265	20.5805
CLIC6	7.2339	41.779	12.2848	49.4492
LARS1	19.4643	17.1286	12.8703	14.7233
PHF12	31.091	15.1581	10.0141	16.4459
ALKBH4	19.3345	14.701	11.737	16.3275
AHCTF1	17.6295	11.7248	12.3648	9.4274
PTGER4	34.4783	16.6116	18.4224	12.5409
DHX36	21.4854	19.3546	11.5266	12.565
QKI	22.2304	30.8166	24.4108	23.9759
MAP2K4	21.3055	20.199	16.0082	17.305
MTX1	10.1559	12.4607	13.1748	13.5078
IKBKE	48.495	17.4799	13.3234	25.7748
BAIAP2	2.2326	5.8459	12.8899	3.9156
CDK17	27.2346	17.894	17.7487	14.5688
DNAJC11	21.1852	17.0036	11.0973	14.2292
RHOT1	15.1133	19.4175	13.2036	16.5669
ATF7	10.784	22.2195	12.5576	18.6265
CNOT10	24.3513	15.3555	12.0037	15.7152
ADORA1	3.772	41.3142	16.8402	38.5866
CD86	38.7984	35.535	45.1325	19.3728
COA7	9.5951	15.7248	10.7547	13.1026
APBB1IP	98.291	45.3711	24.3986	26.7905
DUSP26	2.5005	7.9142	2.8206	3.7582
PLCD1	21.2857	19.1339	12.8999	26.7115
OMD	1.329	37.7924	9.8831	3.2966
CIDEC	0.0949	0.0884	64.7534	0
ANKRD27	14.0394	10.6656	11.6782	12.0885
OVOL2	0.0422	7.6053	3.7546	11.0319
MR1	21.5568	25.3023	12.576	13.4533
ZNF875	25.6909	15.0005	10.9777	13.6467
ZNF644	24.5442	19.8531	11.4214	16.506
CYLD	46.5318	20.0861	13.8924	16.7977
TSPYL5	22.2376	26.2265	15.8922	19.3411
RIPK1	20.2064	16.2876	12.7512	20.3286
PI16	5.7288	1.5791	41.9138	1.336
LRRFIP2	25.6481	17.9048	13.8339	19.0337
ZNF436	10.4339	23.672	17.6506	33.7025
BARX2	0.3718	23.8517	8.9445	20.1421
MTR	24.706	18.1545	11.9772	14.9999
DYNLRB1	8.7499	8.8955	13.1176	5.5939
IRAK4	46.5702	16.9247	12.2009	17.6397
C4BPB	0.2615	1.9493	2.1392	6.2923
THUMPD3	16.5701	17.1688	10.5658	12.7325
GPC6	4.0215	15.5345	15.9641	7.6779
XDH	0.1687	2.8868	6.1044	2.2784
CAMSAP1	10.6172	19.5373	13.6124	16.1166
GIPC2	28.393	13.8811	6.7728	18.4411
GRK5	29.6816	8.5825	15.4599	9.697
HSPA14	19.4755	13.693	10.7305	11.4433
SLC43A2	22.2023	19.9825	28.1866	19.8638
TCF19	28.874	8.4379	7.7143	10.2006
THAP12	29.4607	18.9332	12.1361	16.8086
MIGA2	29.6446	11.0835	11.1776	16.205
UNC119	44.0295	16.6284	15.4775	20.2925
RAB26	1.3829	4.3888	2.0437	3.5794
WDR59	21.2748	12.5355	10.939	13.8806
NEUROD1	0.0935	10.7684	2.2046	3.7667
CEP55	7.4879	4.4941	6.1185	5.8421
TRMT1L	25.9635	14.9196	8.2229	13.6854
PAWR	10.3235	19.2312	12.4481	19.0065
TAF5L	15.15	13.8343	12.5174	11.6486
EXOSC2	27.0422	11.7591	9.4341	12.6416
RCAN3	20.6619	17.6607	9.3936	18.1666
EVA1A	6.9447	21.4047	16.054	23.2863
DDX3Y	0.065	0.0202	42.4089	31.6624
WDR33	27.8816	16.3154	11.2244	15.9494
TRAPPC12	18.0359	13.0718	14.5802	15.1649
ALDH1A3	1.1678	14.2945	26.7631	14.2903
STIM2	41.1067	15.811	10.6959	11.8503
GBF1	17.2129	15.6537	11.8448	14.283
ITSN2	49.6914	19.7311	12.8508	18.3059
FN3K	6.2868	9.4555	9.9988	13.926
NDUFAF4	18.102	15.237	14.7941	14.7646
GCLM	10.0258	21.8808	11.9326	18.1002
PLAGL2	20.4694	13.6569	11.1837	14.8184
PMAIP1	16.8883	12.6859	15.3521	18.8468
PNPLA4	10.4687	16.1245	8.8647	12.2735
SSH1	17.731	24.1022	16.7512	17.8621
TBC1D4	39.3525	30.9656	13.8262	20.2584
RAB21	12.1397	12.7406	14.6554	12.2449
POGLUT2	3.941	24.534	21.2738	14.7506
ECI2	10.346	12.5524	10.4326	14.7177
UBA5	21.4508	17.2061	10.7256	15.2912
CNOT2	20.4336	18.6561	11.0774	14.9916
SAC3D1	9.5511	9.8463	14.4242	13.8091
GPR68	9.6364	9.9283	16.7444	10.6853
CDK12	25.4439	15.4619	10.0062	11.076
AGBL5	14.3105	16.8083	10.69	16.5736
TMEM38A	6.7868	5.5317	5.856	4.6533
BAG4	12.9365	15.3294	14.8593	15.2303
CEP57	22.9958	14.2868	9.2516	12.5531
RRAGC	13.1781	17.6054	17.3337	19.6688
CWF19L1	32.833	13.5554	12.7599	13.6594
POLL	22.9734	12.6527	11.5206	18.0128
SLC15A1	0.0884	10.7725	7.9714	13.9574
TAF2	20.3482	15.0321	10.5446	11.3125
F8A1	18.4029	16.9645	16.3458	18.2689
CUL5	21.1293	20.0562	10.0322	15.1951
GLRX	24.6177	16.9083	19.1126	14.0165
CBLL1	23.8659	15.9101	10.2688	15.7738
UPF3A	26.6452	14.5062	9.825	16.9353
SELENOI	11.7545	10.3563	7.1587	10.6958
SMARCAD1	25.7189	23.6842	10.3527	15.1352
TOPBP1	29.075	15.6699	9.7025	13.5446
NRGN	59.1835	10.0497	21.7421	17.84
FGFR2	1.2881	28.4677	7.0302	22.6083
SLC43A3	9.3465	27.1026	24.9606	32.0981
BMP8A	5.7749	26.0781	19.0545	44.2438
PTGS1	27.4924	31.7136	20.372	22.7502
MUC17	0.0696	0.0039	7.6228	0.017
KLHL42	14.119	16.0373	12.24	13.4918
UGT1A10	0	0	7.0009	0
FBXO38	23.9356	18.0038	11.3721	15.5449
KMT2D	39.5848	16.9543	11.3763	11.0473
EPC2	23.5357	19.8175	11.2957	14.8687
MTOR	25.8493	20.6908	12.1961	17.0115
PRPSAP2	25.6739	16.1337	10.2827	16.298
RBP2	0.2201	6.7004	1.1233	11.8197
NUP214	35.1121	15.7803	13.0228	15.6407
MOCS2	13.5255	18.7483	9.8836	17.3691
DXO	25.7873	12.0391	9.5097	17.478
CENPT	36.7367	11.4323	14.4459	21.1899
EPYC	0.1032	5.3221	4.6277	0.2771
PHYKPL	44.7603	13.2402	13.9387	17.5653
NOSTRIN	4.7311	9.4124	8.2551	9.3253
CCNT1	27.2512	14.9972	11.2521	11.9303
BCL2L15	1.0531	5.0056	10.3019	8.4649
HSF4	6.0856	4.3968	8.8135	10.8197
MFSD2A	2.9009	3.345	9.5258	3.6973
TXLNG	30.4754	14.8357	9.2375	9.3973
CCDC88B	111.1112	9.2576	22.2716	16.2673
E4F1	24.6745	10.9343	13.9033	14.6708
EGR3	9.1828	17.0922	58.8125	8.8473
H2BC4	3.122	2.6324	2.9265	1.4969
COLEC12	0.7852	8.7019	20.3771	5.3273
ADH1B	19.3754	8.1591	71.7444	1.0742
ACBD6	15.1891	15.2894	11.0559	14.049
RAB3GAP2	19.1414	16.2043	10.0225	12.0866
EIPR1	13.4215	14.1835	13.0667	13.9323
IFFO1	62.0008	23.6002	21.059	25.7349
INPP5F	11.7126	13.4952	11.6667	9.7152
CHCHD7	27.7852	13.0942	10.567	12.9299
COX11	16.6922	17.4468	10.5471	14.9283
RABGAP1L	20.6571	16.9895	7.8424	11.9374
IGSF9	0.5885	6.1891	4.8624	10.095
HACL1	22.7313	19.6544	10.657	16.1293
TGFBR3	37.3073	11.0199	15.1688	7.1615
AKAP9	19.7106	15.0906	7.6971	10.9474
ISCA2	18.168	13.3309	9.8839	13.3994
ABHD8	12.7315	16.2472	18.9093	19.056
SPATS2	12.9816	15.0409	12.507	13.6264
IL10RA	89.2398	34.5498	23.2844	20.5192
GOLGA1	24.1763	16.9856	10.1947	15.6749
HSDL1	20.9808	15.7367	12.5317	19.2765
EYA3	18.0946	16.8986	12.9811	17.737
SLC28A3	0.3077	32.1927	8.8672	28.3806
TATDN2	23.9155	17.9584	12.4595	14.6236
CARS2	27.8904	13.303	14.838	17.5058
UEVLD	9.9821	17.9973	10.6214	15.1369
TMEM170A	20.8948	11.7891	12.2405	13.2045
BPTF	27.9916	21.5099	8.3317	13.0194
SLC1A4	13.8932	19.9765	14.2999	25.4212
CD8A	151.306	35.7936	11.8962	12.5296
OSBPL1A	5.2582	21.335	14.7771	12.9267
ZNF33B	14.2134	19.9138	5.8912	21.7467
IL17RA	22.332	25.9138	18.8101	17.9061
GGCX	10.6162	19.7298	13.9007	17.5679
TLR2	32.8973	35.6346	14.7922	27.8155
LDHD	1.9635	9.4419	12.483	11.634
SFSWAP	28.1685	15.4928	12.4676	16.0676
JAK3	106.9821	13.9156	18.5789	26.1431
RNASET2	39.3611	7.0559	21.7462	8.6054
IKBIP	9.7839	18.1107	17.2954	17.2938
ITGA7	13.1637	8.912	30.6199	11.1035
SPATA13	55.969	27.2194	17.9857	25.8797
ADM2	10.0602	8.8095	3.8886	20.2982
GCDH	21.8189	12.8915	15.5348	17.3448
TVP23B	7.3636	9.7731	11.0793	12.8481
FZD4	29.9356	13.3974	24.863	16.2134
PYCR3	12.1806	8.314	7.2487	9.8898
NNT	14.2064	21.7192	11.3955	14.5089
NIPAL3	12.8165	17.155	7.2877	12.9771
MAB21L4	0.1342	0.9587	5.2585	0.6606
TMEM42	22.6196	15.9531	9.9345	16.3696
IRF5	55.922	20.6525	18.132	22.3877
MRM3	17.5677	14.5817	11.8176	19.1199
TRIM16	4.056	6.0539	13.295	8.9576
SMO	4.816	35.4791	22.1376	31.5925
SP140L	47.4176	11.0844	12.2995	10.8715
ITIH5	9.5865	51.3439	31.1503	37.4445
FAM43A	52.0518	11.9576	25.6147	17.0418
DNAJC7	14.7922	13.4749	12.4082	14.3068
PECR	6.3721	13.8288	11.1581	12.7606
NLK	27.6889	15.0461	12.9368	15.4802
PTER	16.8886	17.7377	5.7077	15.0326
CLMN	8.5039	26.4126	8.6911	22.929
IREB2	26.7707	21.5736	10.7881	13.6444
GIPR	4.678	3.613	5.5238	6.5678
RAB3D	6.8514	7.1822	5.8921	11.6758
PLN	5.4445	16.6421	8.6646	3.8427
FGD4	5.3193	15.9531	8.4771	10.1483
ISY1	15.5867	14.0704	13.1848	18.0992
DCUN1D4	16.2934	13.6157	12.1457	13.4697
INSM1	0.9802	4.2427	1.6437	2.5443
CFL2	15.7307	20.9257	12.7309	19.4182
GNG2	58.3257	18.0232	9.9268	12.5256
ACAT1	14.7671	22.3554	15.6527	19.4426
FNTA	21.7337	13.8531	11.6964	15.9356
FAM104A	18.2631	13.5938	11.9428	12.5556
GATAD2B	26.8493	16.1684	9.4098	14.505
GAL3ST4	5.4986	42.0736	19.5873	41.5897
DNAJC30	14.9608	14.8079	13.0997	14.6703
C1orf35	15.5202	9.924	11.4727	15.0696
PTGER2	21.6541	17.9767	16.3924	4.6595
TRAF3IP2	11.2119	19.598	12.0676	20.2181
ABHD13	18.0978	16.833	13.0924	14.2242
EIF2B2	8.1257	14.7198	12.8461	10.8248
PTX3	15.2518	5.6424	49.1927	4.5945
PALD1	34.4332	42.8979	16.6332	46.6162
LUC7L2	28.9016	13.0439	11.6896	12.2948
TRAF1	68.9959	23.6335	24.7197	31.7599
MEX3C	25.1176	19.1429	14.0229	19.1395
RFX1	14.8501	12.9946	14.0476	16.8955
BCL2L11	33.0277	32.9925	12.2944	20.8576
FAM122A	21.1099	19.0584	10.9915	14.7188
UBA6	18.6668	10.3363	11.7017	11.6003
CDCA4	14.0551	9.2513	10.2195	13.7357
LAIR1	51.4675	37.0365	39.3378	29.7096
NUP58	14.4207	12.1605	14.4008	11.5938
ADGRL4	24.3305	16.7203	32.3903	16.3647
FABP5	18.022	12.2587	52.6997	7.8684
TOR1AIP2	7.5178	10.388	11.0769	13.6865
DHX34	23.9459	10.1323	15.3269	12.0391
CSTF3	18.3387	13.9794	9.6295	13.1863
EXTL3	10.8773	20.8536	13.6884	21.2574
ZNF710	15.257	18.0456	13.0744	15.5516
ZNF148	19.762	18.0346	9.1462	13.9395
FUZ	9.7621	11.1126	10.033	14.628
ODAM	0.2381	7.1385	6.2936	8.1525
TMEM80	36.7992	11.9493	7.0279	12.6144
CUL3	18.0811	14.2413	10.1593	10.8659
FAM98B	16.6682	18.4933	11.0934	15.4288
NFATC2	38.9542	16.8315	16.6998	10.2456
DIPK1A	19.6453	19.0461	20.3984	9.5051
PARP8	39.9154	22.0597	10.3065	17.109
ACTR6	20.925	16.0154	10.5972	14.1446
MAP3K8	50.6867	24.2462	44.7035	16.7549
ALDH4A1	12.5457	19.6768	27.7574	18.791
GABPA	30.8029	20.8979	12.7637	16.3504
UBE4A	25.0728	17.7433	8.0704	8.2583
TCOF1	23.9491	11.2376	10.8817	12.5802
APBB2	7.7732	22.8134	17.3627	15.1994
STRIP1	30.1615	17.4171	14.7153	16.5123
KPNA1	16.4032	14.8887	11.9192	13.0164
CPSF2	15.7626	15.6713	11.537	10.2972
ONECUT2	0.0169	19.6129	6.9617	10.0806
SC5D	9.6192	18.032	10.2903	14.1808
REST	21.8542	18.7298	11.9193	17.4812
GIGYF2	16.8426	17.3926	10.9433	12.4555
HMBS	10.2255	11.3287	9.7725	13.5879
RHBDD1	23.4829	15.0148	8.7218	11.5965
CEP70	6.6438	20.245	8.0729	17.858
FOXF1	1.7172	13.3273	13.4439	6.195
ASCC1	18.7367	17.1388	9.7754	14.1812
TIMELESS	28.6715	13.2116	9.0033	12.7598
BBS2	21.269	17.5358	12.2836	14.2108
ELMOD2	13.0416	17.9162	11.3628	17.4209
SYNPO2	9.8896	8.919	10.6886	2.2416
BCL6B	12.6486	19.2269	35.2952	22.4885
WDSUB1	17.6474	18.6046	11.7329	16.6952
MED28	24.4175	15.6545	13.8783	12.4633
TNRC6A	30.2754	18.4218	10.3463	14.5114
PGM3	7.2871	18.9978	14.0255	17.1402
SLC9B2	6.4363	4.7435	10.7707	5.7704
PTPN3	0.4373	13.5836	6.0234	14.8474
CHD1	30.2021	14.6156	14.5202	11.0159
CCDC24	13.2062	8.6425	7.8206	14.9969
TMCC3	16.2079	19.3762	11.7542	11.9759
PTCD3	30.8656	14.3535	11.3051	13.0646
BATF2	26.4605	9.5229	6.1897	14.1625
TBRG1	31.2052	14.179	12.593	16.2855
ZNF623	19.3798	14.4192	8.299	12.6944
ZNF561	15.8871	18.2742	11.2601	16.4639
TM2D1	13.6048	15.8574	12.2296	13.4442
IQGAP3	2.2896	1.9538	4.9576	2.9752
CDKN2A	4.3324	2.4537	42.8947	5.5058
EMILIN2	11.1119	27.1766	69.0446	15.941
WDR36	23.4666	14.7906	10.7151	10.9147
DBNDD1	4.2098	16.8841	8.7368	36.3363
AEBP2	14.2895	15.4934	11.8806	12.9248
SELP	6.8478	15.3953	17.6584	10.7079
IL17RB	4.6129	17.0057	8.7754	18.128
SMG1	29.0216	17.9748	10.2788	11.2867
PARVB	19.2723	11.9029	18.3296	11.9401
MIS18A	16.3037	12.8234	6.7237	14.7397
TBL1X	21.409	18.0691	10.6958	14.4656
HTT	33.7093	16.5039	13.0553	15.1947
RALGPS2	116.7007	8.5421	6.892	7.5994
NUP88	31.9732	14.4843	11.3391	14.9878
RIN1	4.2544	4.0077	9.5953	4.9687
MCUR1	9.4573	13.8211	10.9806	14.3458
IGSF6	36.1292	47.892	19.2422	45.9963
RUFY3	33.4592	16.813	13.2711	16.1947
DHX37	24.5284	14.0184	12.6142	14.7069
MINDY2	10.5936	15.8154	15.2103	10.0626
RNF111	22.9854	17.1799	11.9376	12.578
SPRYD7	9.0656	11.4891	11.3739	13.5896
SNRNP35	18.1902	13.8125	12.9007	15.2166
ACYP1	18.4127	7.434	11.0552	8.3092
SUSD4	1.528	14.4619	3.183	9.5202
ANKRD49	48.9446	16.1242	8.4239	15.7484
HEATR5B	33.9773	18.0236	10.1145	13.7808
NCKAP5L	12.3682	20.0601	24.6048	22.9526
ABCA7	54.1216	8.0477	10.6881	9.3809
LPIN1	24.9551	16.9264	13.6898	14.736
RSBN1L	27.1862	14.343	8.5148	12.2472
GALNS	12.3627	15.6158	22.6987	9.3711
C1orf52	22.9488	12.619	14.3921	13.823
CH25H	2.8079	8.0042	31.3899	7.983
YPEL2	15.1655	30.424	12.5606	20.8339
BRPF1	21.0562	13.4038	14.3176	14.711
WDR72	0.0542	4.7712	8.7149	4.961
CLIP1	13.5236	15.9415	12.1172	13.6692
DPH7	32.0043	11.1442	10.1318	16.5109
FMO5	6.014	8.2161	3.9314	5.6192
ACACA	8.098	14.4235	9.0903	10.0219
GSTM4	17.2929	19.4597	12.0276	29.1677
BBS4	15.0428	18.3154	9.7414	15.9518
TMEM88	7.4479	16.724	28.4687	18.6649
MANBA	21.2068	18.6413	18.4923	12.7436
RNASEH1	19.1145	17.9395	9.6707	15.7221
PKN3	17.7323	10.8975	12.7282	12.9028
LAT2	91.9483	24.1518	20.0334	21.2974
GATA4	1.3814	9.2584	4.0895	19.6696
PLCB2	100.9003	22.9004	34.4568	24.0212
SLC11A1	17.6852	16.2747	75.0804	14.1499
RNF144B	30.5716	33.719	22.4855	33.1891
DHRS7B	7.4474	17.1529	12.8649	22.3088
NUBP1	21.3096	21.3364	13.9756	20.2222
YBEY	17.8552	12.9847	13.1306	17.5052
TRIM35	25.7417	15.0762	13.903	16.3386
HABP4	12.0789	14.3445	15.5065	15.5955
WDR74	19.5749	10.7467	11.3022	13.3067
DIS3L	20.1174	20.2782	9.7905	16.3674
RFC4	23.7366	9.9085	7.2163	12.0805
NDUFA5	11.5546	14.9334	11.4098	13.5587
XPC	30.8702	18.855	9.9444	10.2153
NKTR	63.309	15.5608	10.0429	13.0647
NDUFA10	17.8403	15.3544	11.683	14.9444
ERC1	9.9861	20.5019	10.247	13.4438
TRIM33	25.8429	20.2364	10.4619	14.4552
PANK4	20.8461	13.8283	13.8215	17.2959
SNTB1	10.3339	15.4171	13.3619	13.8676
ZMYM5	17.2456	13.5208	12.2094	10.8785
PTDSS2	12.8065	13.267	15.5466	15.655
PTPN2	25.1626	16.5342	11.2607	16.058
EPM2AIP1	36.4426	18.327	8.4233	12.7793
RANBP10	27.9292	15.4546	10.68	15.509
C6orf141	0.1581	18.0199	9.0858	14.0416
RPP30	19.0698	16.0323	12.6756	17.4637
BCAT1	3.7311	14.5156	20.265	22.1
RBM33	39.365	16.014	11.1258	11.4591
TPGS2	13.101	24.768	14.4717	24.7667
RHBDL2	1.2833	4.9678	7.749	5.1835
PRDM2	36.9226	18.7713	12.9537	14.348
USP32	16.3776	20.4653	14.0978	14.5797
USP38	16.8504	14.5707	11.1942	13.381
GGPS1	10.5955	12.6802	8.2589	12.9358
ORAI3	13.5562	12.6442	11.706	14.2446
ADAT1	19.8587	16.0726	11.1081	13.0059
CDC73	11.394	14.2731	9.9903	11.251
DIPK2A	15.9157	24.6197	15.153	18.328
ZC3HC1	19.0618	14.2995	12.4783	14.3787
ACTR5	25.1556	11.9993	9.769	13.2345
PPFIA1	10.7884	14.2289	13.2423	12.3346
TNFSF13B	23.4075	28.7452	17.6198	21.6306
ZNRF2	13.062	14.1251	10.838	12.9138
MORC2	15.543	10.196	11.3696	10.5336
EIF2AK3	16.0342	12.8456	10.8223	14.0315
TADA1	19.6565	15.9575	8.1357	14.2927
PDSS2	12.119	21.2323	9.4927	14.3705
HAND2	3.2796	18.5145	8.284	8.5981
LRRC23	6.2766	9.6353	7.9971	11.9719
RAB7B	4.6672	22.8054	27.7554	10.5223
TASP1	16.1781	21.8571	11.4205	17.7838
FAM117A	56.2845	10.7185	7.4756	11.7837
TOE1	24.6085	13.3776	9.7757	12.6363
NAA15	15.2805	12.4885	10.4951	9.6545
LRP3	5.3749	20.2738	25.6428	22.9794
SOCS5	17.7789	15.4809	18.1849	13.4013
CREM	9.2845	16.4937	33.8452	14.5752
ING2	7.4531	14.556	12.3016	13.8666
AKTIP	9.7735	19.295	11.2756	15.4445
TMEM64	24.0479	15.3243	12.2313	10.1947
RAF1	19.4963	16.1477	11.3521	12.0128
NME1	5.4461	8.5942	12.011	8.0428
AP1S3	7.4744	5.1197	7.2392	7.0676
RIN3	33.5482	18.1325	30.2416	17.0183
SP110	64.0612	13.4559	11.6073	11.3714
UBR3	17.7114	16.5716	9.4708	10.6674
MCM3AP	32.4451	15.7987	9.7339	12.228
GNPNAT1	5.3105	12.2607	8.3521	9.1948
TRIM37	13.4857	14.2063	9.6094	11.1591
FKBP14	4.6287	17.384	14.3486	14.0015
SMIM4	8.8082	13.8322	15.9588	9.7957
CLIP4	14.2218	17.2111	16.0584	15.5315
FCER1A	2.5543	17.8528	6.1687	8.5731
BORCS6	22.7921	16.0797	16.0631	19.8556
TMEM168	20.7691	13.2427	9.8696	11.2341
LCP2	56.084	34.4373	22.1288	26.2146
ETFDH	11.2799	11.3927	12.7809	8.9103
PLIN4	2.2883	1.2351	212.8705	3.4306
PTPRS	8.968	14.3675	17.0661	15.305
ABCA3	14.4063	19.4405	8.2358	19.6131
PAEP	0	0.2781	0.373	0.5152
STK36	13.0754	15.2832	10.2621	18.7998
KCNH2	4.149	5.8122	4.5549	4.0432
ATP10B	0.1316	5.8336	5.7966	2.5609
RWDD4	9.6233	14.2651	11.0534	12.3304
TCEAL7	7.5596	23.5842	16.1789	15.7148
AURKA	10.3218	4.1831	5.3488	4.3776
PRMT6	20.0982	19.2623	10.2321	16.8378
ZNF688	21.01	11.8682	12.3125	18.2815
PRDM1	28.6552	17.0753	26.9683	9.3218
SERGEF	12.6021	13.3731	7.5664	13.4171
CYP4F3	1.8372	0.8901	7.3487	0.5733
SUGCT	3.6158	11.906	39.2549	11.8858
MECR	9.034	13.8919	12.7141	14.5019
CCDC186	13.6549	17.8525	6.7474	12.9149
RIOX1	18.0544	11.827	11.8136	15.5846
CPEB4	9.6162	20.3237	11.068	13.452
GTF3C3	17.0506	14.5183	9.7765	11.5137
POLR2F	7.8024	12.8688	14.8404	12.4703
KCTD15	15.0959	11.9563	17.1192	19.0356
GPR34	36.0186	48.5347	12.7076	29.8609
CDO1	6.53	20.5899	17.2536	20.3022
MYO1A	0.4806	0.4544	4.6011	0.5237
METTL3	47.4558	14.3227	10.3645	15.9332
MLF1	2.0665	11.8177	12.9968	8.9581
RORC	0.8847	13.2178	2.9753	18.4417
CCR1	58.3043	29.6074	26.9294	18.8416
DPP8	21.5381	17.2625	9.6872	11.6723
ABCB8	13.4567	12.1909	13.0206	14.0857
FABP1	0.1155	0	0.1122	0
PM20D2	16.1347	16.6946	8.3179	19.3431
GJD2	0.0955	8.6997	1.5082	1.709
AASDHPPT	17.5976	17.7662	10.0403	16.4159
NCCRP1	1.2242	1.9307	0.3433	5.4785
ELOVL7	1.6676	15.9036	9.833	19.0864
SMCR8	42.3994	19.4134	9.9363	11.9875
TMEM267	14.0459	17.3248	8.5874	13.6521
UBR1	17.1503	16.6664	9.5468	10.7391
ISL1	0.099	7.0756	3.5138	2.3932
HNF4G	0.2132	9.3339	5.0315	7.0964
UFD1	13.4125	12.6119	11.8696	14.4952
RAPGEF5	37.2348	19.4607	10.3444	12.9426
MED27	11.6451	14.0502	13.4294	14.0264
UPK3B	1.088	0.5633	2.1154	2.6294
PINK1	6.8113	15.4565	14.2805	14.7931
RNF170	13.9756	14.5508	9.4278	11.9175
UVRAG	39.217	17.9471	12.164	14.4231
ATP6V0E2	12.1353	14.7708	8.4257	13.3765
C11orf80	10.7036	18.2689	7.7693	24.529
S1PR2	15.8262	12.4175	30.5954	19.0769
ABI3BP	8.3776	19.093	13.3767	7.9151
GTF3C4	11.5198	16.5314	8.7137	12.0137
SMIM10L1	13.0724	13.7996	9.9243	13.8056
PDZRN3	2.2873	17.749	20.21	11.6867
MTM1	26.091	15.9989	10.2182	12.0668
LRRC40	18.1535	20.2401	12.1382	19.6146
MUC4	0.2787	0.2638	7.3858	0.5702
PCDH7	8.852	12.3292	13.9148	4.1381
EPN3	0.1239	9.212	4.1856	12.8459
MRS2	18.6599	15.7012	11.4118	13.3285
MTRR	20.1496	17.5331	9.7867	13.1416
ARHGAP26	7.6256	12.9636	8.7483	11.0405
RCOR3	25.2526	16.1782	7.3599	13.887
ZNF121	18.8011	8.6748	10.4419	10.7972
NLRC5	117.775	13.8954	8.0956	12.9758
DNM1	3.3483	11.0946	15.8707	7.9451
RMND5B	18.5042	12.1637	11.1236	14.4119
GEMIN5	19.6561	13.0206	10.6429	10.4259
OARD1	18.7864	18.5382	6.6977	16.3809
PELI2	11.4153	17.4988	16.1127	14.1518
TNFAIP8L2	72.9961	27.8391	34.3671	29.109
BHLHA15	1.6239	6.7084	0.4362	13.8462
MT1H	0.2572	28.6871	6.3765	33.7296
MIDEAS	34.7029	14.2549	12.4091	11.7587
CCNA2	17.529	5.0668	4.6629	5.8758
GLIPR1	30.8775	28.2728	25.918	22.2216
ANO8	8.491	8.3457	10.322	16.2968
APOO	8.2458	14.4618	10.4414	14.2307
ARL6IP6	15.4345	12.5166	10.0785	16.6977
FAM102B	9.6174	20.7491	19.8897	15.0883
CASP10	28.2986	13.7023	9.9	11.374
C2orf49	17.2222	15.2135	10.5643	14.1464
EXOC5	16.5748	16.2315	12.5788	14.1676
GDPD3	15.3803	2.3154	7.2024	5.1357
AP4M1	8.2515	12.0148	9.4761	13.9422
MOSPD1	7.4841	13.8839	15.8593	14.2108
ETV7	7.795	17.887	7.7107	26.4696
ZYG11B	12.454	17.7067	11.9468	13.084
UCK2	6.7773	10.845	9.7561	9.3074
ADCY3	14.1222	16.6321	21.9911	8.8479
MIB2	34.0804	9.7531	15.3196	12.4461
E2F1	13.2747	3.7156	5.2423	6.1572
UBIAD1	23.5128	16.4468	9.0041	14.782
ONECUT3	0.0647	0	7.1053	0.0116
NEDD1	21.2434	19.797	12.117	14.3906
CHDH	1.2658	23.6006	6.7214	22.7662
SLC37A3	7.7464	13.1175	9.496	13.2848
OSBPL11	29.9321	20.506	15.5117	13.8657
FOXK1	23.2018	13.5816	10.6202	10.3196
NT5DC1	18.046	16.256	7.3021	13.418
RUNX3	112.9806	19.344	10.5374	15.9122
MED7	23.0804	16.8576	11.5031	14.3914
RERG	20.2448	40.9433	10.7641	23.2452
FAXDC2	8.3489	17.2537	8.6508	11.437
SNAPC3	18.2951	13.5186	10.6605	13.137
SLC36A1	13.4999	31.1038	11.058	17.0019
TRIM69	35.7715	16.1255	12.557	18.7482
C1orf21	10.3948	10.6239	11.0228	8.3632
